IssueKey,UpdatedOn,HoursSinceLastUpdate
OP-10065,2021-12-03T16:52:14.751+0530,1144
OP-9921,2021-12-07T18:49:38.694+0530,1046
OP-9906,2021-12-14T16:59:37.010+0530,880
OP-9905,2021-12-22T17:10:51.783+0530,688
OP-9903,2021-12-22T17:12:06.792+0530,688
OP-9666,2021-12-14T17:05:15.437+0530,880
OP-11888,2022-01-19T14:51:37.554+0530,18
OP-11825,2022-01-19T08:58:56.261+0530,24
OP-11465,2022-01-03T07:28:15.417+0530,409
OP-11464,2022-01-03T07:28:20.771+0530,409
OP-11463,2022-01-03T07:27:10.879+0530,409
OP-11462,2022-01-04T09:01:10.073+0530,384
OP-11461,2022-01-03T07:26:30.772+0530,409
OP-11460,2022-01-03T07:26:11.378+0530,409
OP-11459,2022-01-03T07:25:50.737+0530,409
OP-11458,2022-01-03T07:25:23.305+0530,409
OP-11457,2022-01-18T16:44:37.990+0530,40
OP-11340,2022-01-13T10:31:23.891+0530,166
OP-11339,2022-01-13T10:29:02.085+0530,166
OP-11338,2022-01-13T10:32:53.232+0530,166
OP-11241,2021-12-27T19:29:23.076+0530,565
OP-11240,2021-12-27T19:31:52.040+0530,565
OP-11179,2021-12-28T20:09:50.162+0530,541
OP-10965,2021-12-30T10:31:17.366+0530,502
OP-10956,2021-12-22T17:05:53.418+0530,688
OP-10872,2022-01-05T22:14:36.519+0530,346
OP-10863,2021-12-28T20:20:13.679+0530,540
OP-10761,2021-12-20T09:40:46.043+0530,743
OP-10653,2022-01-05T07:04:53.810+0530,362
OP-10652,2022-01-05T07:04:39.406+0530,362
OP-10334,2021-12-17T12:05:01.974+0530,813
OP-10210,2021-12-14T12:10:43.258+0530,885
OP-10188,2021-12-10T09:36:11.596+0530,983
OP-10187,2021-12-08T12:04:36.591+0530,1029
OP-10186,2022-01-18T17:47:17.516+0530,39
OP-10185,2022-01-18T17:47:17.909+0530,39
OP-10082,2021-12-17T10:08:55.953+0530,815
OP-10060,2022-01-18T19:50:48.866+0530,37
OP-10022,2021-12-17T12:02:39.376+0530,813
OP-10019,2021-12-14T12:10:24.287+0530,885
OP-9956,2021-12-22T15:52:42.075+0530,689
OP-9928,2022-01-18T17:47:24.472+0530,39
OP-9904,2021-12-13T16:40:11.738+0530,904
OP-9900,2021-12-14T10:49:28.694+0530,886
OP-9898,2021-12-14T12:10:33.661+0530,885
OP-9879,2021-12-21T10:31:46.177+0530,718
OP-9878,2021-12-17T09:39:22.310+0530,815
OP-9679,2021-12-14T12:10:11.104+0530,885
OP-9676,2021-12-14T10:49:52.534+0530,886
OP-9633,2021-12-29T08:59:53.065+0530,528
OP-9168,2022-01-13T10:30:19.772+0530,166
OP-10909,2022-01-18T17:47:19.947+0530,39
OP-10002,2021-12-14T09:00:31.500+0530,888
OP-10001,2021-12-27T09:14:43.367+0530,575
OP-9909,2021-12-08T19:01:58.906+0530,1022
OP-9899,2021-12-02T11:50:32.210+0530,1173
OP-9884,2021-12-14T09:01:05.107+0530,888
OP-9791,2021-12-29T09:17:44.681+0530,527
OP-9786,2021-12-30T10:32:20.204+0530,502
OP-9785,2021-12-30T10:32:35.178+0530,502
OP-9784,2021-12-30T10:32:37.718+0530,502
OP-9783,2021-12-30T10:32:40.292+0530,502
OP-9773,2021-12-30T10:32:42.700+0530,502
OP-9771,2021-12-30T10:32:44.892+0530,502
OP-9770,2021-12-30T10:32:47.975+0530,502
OP-9763,2021-12-30T10:32:51.444+0530,502
OP-9747,2021-12-09T20:57:18.164+0530,996
OP-9746,2021-12-09T17:00:05.526+0530,1000
OP-9745,2021-12-09T16:59:49.276+0530,1000
OP-9744,2021-12-14T09:13:33.875+0530,888
OP-9743,2021-12-29T15:16:01.781+0530,521
OP-9742,2021-12-03T17:15:44.569+0530,1143
OP-9741,2021-12-09T17:01:23.247+0530,1000
OP-9740,2021-12-14T11:17:52.543+0530,885
OP-9739,2021-12-02T11:50:13.802+0530,1173
OP-9738,2021-12-02T11:49:42.605+0530,1173
OP-9733,2021-12-14T11:24:38.441+0530,885
OP-9732,2021-12-02T11:51:44.405+0530,1173
OP-9731,2021-12-02T10:05:18.432+0530,1175
OP-9730,2021-12-02T11:56:38.164+0530,1173
OP-9686,2021-12-02T10:29:13.267+0530,1174
OP-9685,2021-12-02T10:29:11.317+0530,1174
OP-9680,2021-12-02T11:55:34.299+0530,1173
OP-9678,2021-12-02T10:28:55.065+0530,1174
OP-9604,2022-01-18T18:14:20.127+0530,38
OP-9603,2021-12-29T09:18:27.828+0530,527
OP-9602,2021-12-02T12:08:14.151+0530,1173
OP-9579,2022-01-18T18:14:46.348+0530,38
OP-11902,2022-01-19T21:02:12.554+0530,12
OP-11901,2022-01-19T20:59:43.043+0530,12
OP-11849,2022-01-19T10:52:40.089+0530,22
OP-11679,2022-01-11T12:09:26.447+0530,213
OP-11627,2022-01-10T18:43:48.136+0530,230
OP-11626,2022-01-18T19:51:02.025+0530,37
OP-11547,2022-01-05T11:05:20.913+0530,358
OP-11544,2022-01-05T11:39:59.832+0530,357
OP-11543,2022-01-05T11:39:18.704+0530,357
OP-11497,2022-01-05T10:13:25.464+0530,359
OP-11482,2022-01-03T19:38:50.105+0530,397
OP-11478,2022-01-18T18:14:50.777+0530,38
OP-11470,2022-01-18T18:14:50.740+0530,38
OP-11450,2022-01-18T17:47:33.092+0530,39
OP-11419,2022-01-18T19:51:03.429+0530,37
OP-11373,2021-12-30T11:09:43.444+0530,502
OP-11370,2021-12-29T16:41:45.065+0530,520
OP-11276,2021-12-28T15:20:08.886+0530,545
OP-11265,2021-12-28T14:05:35.654+0530,547
OP-11264,2021-12-28T18:32:53.764+0530,542
OP-11226,2021-12-28T09:07:53.082+0530,552
OP-11213,2022-01-18T19:50:58.116+0530,37
OP-11139,2021-12-24T17:13:51.600+0530,640
OP-11114,2022-01-18T17:47:29.464+0530,39
OP-11009,2021-12-23T11:18:18.734+0530,669
OP-10966,2021-12-21T14:10:18.553+0530,715
OP-10916,2022-01-18T16:42:57.325+0530,40
OP-10915,2021-12-23T19:09:57.610+0530,662
OP-10758,2021-12-22T15:52:06.250+0530,689
OP-10752,2022-01-18T16:44:48.920+0530,40
OP-10721,2021-12-16T13:29:12.344+0530,835
OP-10700,2021-12-24T17:18:40.042+0530,639
OP-10695,2021-12-17T08:45:26.041+0530,816
OP-10649,2021-12-16T09:17:53.710+0530,839
OP-10641,2022-01-18T19:51:05.066+0530,37
OP-10573,2021-12-16T08:46:53.459+0530,840
OP-10572,2021-12-14T19:11:01.904+0530,878
OP-10571,2021-12-16T08:45:56.842+0530,840
OP-10557,2021-12-29T09:17:11.268+0530,527
OP-10523,2021-12-17T14:28:25.392+0530,810
OP-10518,2021-12-17T12:30:06.378+0530,812
OP-10515,2021-12-29T09:17:51.723+0530,527
OP-10423,2021-12-23T19:11:53.130+0530,662
OP-10151,2022-01-18T17:47:20.829+0530,39
OP-10014,2021-12-03T11:24:38.361+0530,1149
OP-10013,2021-12-13T23:14:09.112+0530,898
OP-10012,2021-12-14T10:24:19.629+0530,886
OP-10011,2021-12-13T23:15:44.072+0530,897
OP-10008,2021-12-14T18:11:50.483+0530,879
OP-10006,2021-12-24T17:05:07.085+0530,640
OP-9877,2021-12-14T18:11:12.317+0530,879
OP-9750,2021-12-14T18:10:42.724+0530,879
OP-9643,2021-12-13T23:14:15.897+0530,898
OP-9641,2021-12-14T10:36:33.874+0530,886
OP-11828,2022-01-18T19:57:15.261+0530,37
OP-11670,2022-01-18T16:52:30.444+0530,40
OP-11606,2022-01-18T16:52:33.919+0530,40
OP-11605,2022-01-06T19:24:44.573+0530,325
OP-11604,2022-01-06T16:57:19.005+0530,328
OP-11603,2022-01-19T08:58:17.390+0530,24
OP-11467,2022-01-18T17:29:53.645+0530,39
OP-10869,2022-01-18T17:41:32.495+0530,39
OP-10559,2022-01-18T17:47:31.750+0530,39
OP-9788,2021-12-03T14:35:13.222+0530,1146
OP-9570,2021-12-14T10:40:19.282+0530,886
OP-9569,2021-12-14T10:40:24.458+0530,886
OP-9567,2021-12-14T10:40:05.503+0530,886
OP-9566,2021-12-14T10:39:49.802+0530,886
OP-11686,2022-01-13T13:07:42.075+0530,164
OP-11479,2022-01-18T16:39:01.728+0530,40
OP-10367,2021-12-14T14:07:45.671+0530,883
OP-10366,2021-12-17T13:15:49.135+0530,811
OP-10301,2022-01-11T09:28:43.849+0530,215
OP-10136,2021-12-07T16:03:01.590+0530,1049
OP-10135,2021-12-17T11:58:42.916+0530,813
OP-9659,2021-12-02T09:30:23.194+0530,1175
OP-9658,2021-12-02T18:28:00.952+0530,1166
OP-9657,2021-12-06T09:20:16.503+0530,1079
OP-9656,2021-12-02T18:27:05.570+0530,1166
OP-9655,2021-12-03T09:38:27.101+0530,1151
OP-9654,2021-12-02T18:30:17.826+0530,1166
OP-9597,2021-12-14T09:24:41.627+0530,887
OP-9592,2021-12-14T09:19:19.209+0530,887
OP-9587,2021-12-03T09:27:29.392+0530,1151
OP-9585,2021-12-06T21:29:31.693+0530,1067
OP-9584,2022-01-18T17:50:20.950+0530,39
OP-8556,2022-01-18T17:50:37.245+0530,39
OP-11890,2022-01-19T16:46:55.199+0530,16
OP-11788,2022-01-18T11:41:01.508+0530,45
OP-11770,2022-01-19T11:05:29.750+0530,22
OP-11765,2022-01-19T19:22:15.499+0530,13
OP-11764,2022-01-12T21:52:59.646+0530,179
OP-11762,2022-01-18T17:46:54.329+0530,39
OP-11760,2022-01-18T18:14:52.124+0530,38
OP-11747,2022-01-19T19:29:46.460+0530,13
OP-11687,2022-01-19T19:24:16.207+0530,13
OP-11656,2022-01-13T11:18:27.812+0530,165
OP-11652,2022-01-10T12:57:08.973+0530,236
OP-11647,2022-01-10T10:54:40.351+0530,238
OP-11644,2022-01-18T11:13:41.462+0530,46
OP-11643,2022-01-19T19:25:49.084+0530,13
OP-11631,2022-01-18T18:14:51.315+0530,38
OP-11629,2022-01-19T18:14:39.693+0530,14
OP-11628,2022-01-11T15:58:42.280+0530,209
OP-11625,2022-01-11T12:22:40.850+0530,212
OP-11620,2022-01-11T12:04:23.356+0530,213
OP-11566,2022-01-19T18:47:39.844+0530,14
OP-11516,2022-01-11T12:00:12.188+0530,213
OP-11513,2022-01-19T15:23:43.762+0530,17
OP-11471,2022-01-18T11:47:45.412+0530,45
OP-11453,2022-01-17T11:11:29.365+0530,70
OP-11446,2022-01-04T08:22:38.004+0530,384
OP-11444,2021-12-30T11:50:33.698+0530,501
OP-11443,2022-01-18T19:50:53.237+0530,37
OP-11441,2021-12-30T13:28:06.931+0530,499
OP-11379,2022-01-03T08:48:32.448+0530,408
